id,question,answer,category
20,What is coagulative necrosis?,Coagulative necrosis is a pattern of cell death in which tissue architecture is preserved for several days. It commonly occurs after ischemia in solid organs such as the heart and kidneys.,Pathology
21,How is cardiac output calculated?,Cardiac output equals heart rate multiplied by stroke volume. It represents the volume of blood pumped by the heart per minute and is a key determinant of tissue perfusion.,Physiology
22,What is the Frank-Starling mechanism?,"The Frank-Starling law states that increased ventricular filling stretches myocardial fibers, producing a stronger contraction and increasing stroke volume within physiological limits.",Physiology
23,What structures pass through the carotid sheath?,"The carotid sheath contains the common/internal carotid artery, internal jugular vein, and vagus nerve. These structures are clinically important during neck surgery.",Anatomy
24,What is the blood supply of the heart?,"The heart is supplied by the right and left coronary arteries, which arise from the ascending aorta. Obstruction can lead to myocardial ischemia and infarction.",Anatomy
25,What is the Gram stain principle?,"Gram staining differentiates bacteria based on cell wall structure. Gram-positive bacteria retain crystal violet, whereas gram-negative bacteria lose it and take up the counterstain.",Microbiology
26,How is tuberculosis diagnosed?,"Tuberculosis is diagnosed using sputum microscopy, nucleic acid amplification tests, culture, and imaging. Diagnosis is supported by clinical findings and epidemiological risk factors.",Microbiology
27,What is diabetes mellitus?,"Diabetes mellitus is a metabolic disorder characterized by chronic hyperglycemia due to impaired insulin secretion, insulin action, or both. Long-term complications affect vessels, nerves, kidneys, and eyes.",Medicine
28,What are the diagnostic criteria for hypertension?,"Hypertension is diagnosed by persistently elevated blood pressure, generally ≥140/90 mmHg in clinic settings, confirmed with repeated measurements or ambulatory monitoring.",Medicine
29,What is acute coronary syndrome?,"Acute coronary syndrome includes unstable angina, NSTEMI, and STEMI caused by reduced coronary blood flow. Management includes antiplatelets, anticoagulation, and reperfusion when indicated.",Cardiology
30,How is heart failure treated?,"Heart failure treatment includes ACE inhibitors, beta-blockers, mineralocorticoid antagonists, SGLT2 inhibitors, diuretics, lifestyle modification, and management of underlying causes.",Cardiology
31,What is hypothyroidism?,"Hypothyroidism is a deficiency of thyroid hormone leading to fatigue, weight gain, cold intolerance, and bradycardia. Diagnosis relies on elevated TSH with low free T4 in primary disease.",Endocrinology
32,How is diabetic ketoacidosis managed?,"Management includes intravenous fluids, insulin therapy, potassium monitoring and replacement, and treatment of precipitating causes. Early recognition reduces morbidity and mortality.",Endocrinology
33,What is the mechanism of action of beta-blockers?,"Beta-blockers inhibit beta-adrenergic receptors, reducing heart rate, contractility, and renin release. They are used in hypertension, arrhythmias, angina, and heart failure. Adverse effects include bradycardia, fatigue, and bronchospasm.",Pharmacology
34,How does aspirin act as an antiplatelet agent?,"Aspirin irreversibly inhibits COX-1, decreasing thromboxane A2 synthesis and platelet aggregation. It is used for cardiovascular prevention. Major adverse effects include gastrointestinal bleeding and peptic ulcer disease.",Pharmacology
35,What is apoptosis?,"Apoptosis is programmed cell death characterized by cell shrinkage, chromatin condensation, and apoptotic body formation without significant inflammation. It plays a key role in development and tissue homeostasis.",Pathology
36,What is coagulative necrosis?,Coagulative necrosis is a pattern of cell death in which tissue architecture is preserved for several days. It commonly occurs after ischemia in solid organs such as the heart and kidneys.,Pathology
37,How is cardiac output calculated?,Cardiac output equals heart rate multiplied by stroke volume. It represents the volume of blood pumped by the heart per minute and is a key determinant of tissue perfusion.,Physiology
38,What is the Frank-Starling mechanism?,"The Frank-Starling law states that increased ventricular filling stretches myocardial fibers, producing a stronger contraction and increasing stroke volume within physiological limits.",Physiology
39,What structures pass through the carotid sheath?,"The carotid sheath contains the common/internal carotid artery, internal jugular vein, and vagus nerve. These structures are clinically important during neck surgery.",Anatomy
40,What is the blood supply of the heart?,"The heart is supplied by the right and left coronary arteries, which arise from the ascending aorta. Obstruction can lead to myocardial ischemia and infarction.",Anatomy
41,What is the Gram stain principle?,"Gram staining differentiates bacteria based on cell wall structure. Gram-positive bacteria retain crystal violet, whereas gram-negative bacteria lose it and take up the counterstain.",Microbiology
42,How is tuberculosis diagnosed?,"Tuberculosis is diagnosed using sputum microscopy, nucleic acid amplification tests, culture, and imaging. Diagnosis is supported by clinical findings and epidemiological risk factors.",Microbiology
43,What is diabetes mellitus?,"Diabetes mellitus is a metabolic disorder characterized by chronic hyperglycemia due to impaired insulin secretion, insulin action, or both. Long-term complications affect vessels, nerves, kidneys, and eyes.",Medicine
44,What are the diagnostic criteria for hypertension?,"Hypertension is diagnosed by persistently elevated blood pressure, generally ≥140/90 mmHg in clinic settings, confirmed with repeated measurements or ambulatory monitoring.",Medicine
45,What is acute coronary syndrome?,"Acute coronary syndrome includes unstable angina, NSTEMI, and STEMI caused by reduced coronary blood flow. Management includes antiplatelets, anticoagulation, and reperfusion when indicated.",Cardiology
46,How is heart failure treated?,"Heart failure treatment includes ACE inhibitors, beta-blockers, mineralocorticoid antagonists, SGLT2 inhibitors, diuretics, lifestyle modification, and management of underlying causes.",Cardiology
47,What is hypothyroidism?,"Hypothyroidism is a deficiency of thyroid hormone leading to fatigue, weight gain, cold intolerance, and bradycardia. Diagnosis relies on elevated TSH with low free T4 in primary disease.",Endocrinology
48,How is diabetic ketoacidosis managed?,"Management includes intravenous fluids, insulin therapy, potassium monitoring and replacement, and treatment of precipitating causes. Early recognition reduces morbidity and mortality.",Endocrinology
49,What is the mechanism of action of beta-blockers?,"Beta-blockers inhibit beta-adrenergic receptors, reducing heart rate, contractility, and renin release. They are used in hypertension, arrhythmias, angina, and heart failure. Adverse effects include bradycardia, fatigue, and bronchospasm.",Pharmacology
50,How does aspirin act as an antiplatelet agent?,"Aspirin irreversibly inhibits COX-1, decreasing thromboxane A2 synthesis and platelet aggregation. It is used for cardiovascular prevention. Major adverse effects include gastrointestinal bleeding and peptic ulcer disease.",Pharmacology
51,What is apoptosis?,"Apoptosis is programmed cell death characterized by cell shrinkage, chromatin condensation, and apoptotic body formation without significant inflammation. It plays a key role in development and tissue homeostasis.",Pathology
52,What is coagulative necrosis?,Coagulative necrosis is a pattern of cell death in which tissue architecture is preserved for several days. It commonly occurs after ischemia in solid organs such as the heart and kidneys.,Pathology
53,How is cardiac output calculated?,Cardiac output equals heart rate multiplied by stroke volume. It represents the volume of blood pumped by the heart per minute and is a key determinant of tissue perfusion.,Physiology
54,What is the Frank-Starling mechanism?,"The Frank-Starling law states that increased ventricular filling stretches myocardial fibers, producing a stronger contraction and increasing stroke volume within physiological limits.",Physiology
55,What structures pass through the carotid sheath?,"The carotid sheath contains the common/internal carotid artery, internal jugular vein, and vagus nerve. These structures are clinically important during neck surgery.",Anatomy
56,What is the blood supply of the heart?,"The heart is supplied by the right and left coronary arteries, which arise from the ascending aorta. Obstruction can lead to myocardial ischemia and infarction.",Anatomy
57,What is the Gram stain principle?,"Gram staining differentiates bacteria based on cell wall structure. Gram-positive bacteria retain crystal violet, whereas gram-negative bacteria lose it and take up the counterstain.",Microbiology
58,How is tuberculosis diagnosed?,"Tuberculosis is diagnosed using sputum microscopy, nucleic acid amplification tests, culture, and imaging. Diagnosis is supported by clinical findings and epidemiological risk factors.",Microbiology
59,What is diabetes mellitus?,"Diabetes mellitus is a metabolic disorder characterized by chronic hyperglycemia due to impaired insulin secretion, insulin action, or both. Long-term complications affect vessels, nerves, kidneys, and eyes.",Medicine
60,What are the diagnostic criteria for hypertension?,"Hypertension is diagnosed by persistently elevated blood pressure, generally ≥140/90 mmHg in clinic settings, confirmed with repeated measurements or ambulatory monitoring.",Medicine
61,What is acute coronary syndrome?,"Acute coronary syndrome includes unstable angina, NSTEMI, and STEMI caused by reduced coronary blood flow. Management includes antiplatelets, anticoagulation, and reperfusion when indicated.",Cardiology
62,How is heart failure treated?,"Heart failure treatment includes ACE inhibitors, beta-blockers, mineralocorticoid antagonists, SGLT2 inhibitors, diuretics, lifestyle modification, and management of underlying causes.",Cardiology
63,What is hypothyroidism?,"Hypothyroidism is a deficiency of thyroid hormone leading to fatigue, weight gain, cold intolerance, and bradycardia. Diagnosis relies on elevated TSH with low free T4 in primary disease.",Endocrinology
64,How is diabetic ketoacidosis managed?,"Management includes intravenous fluids, insulin therapy, potassium monitoring and replacement, and treatment of precipitating causes. Early recognition reduces morbidity and mortality.",Endocrinology
65,What is the mechanism of action of beta-blockers?,"Beta-blockers inhibit beta-adrenergic receptors, reducing heart rate, contractility, and renin release. They are used in hypertension, arrhythmias, angina, and heart failure. Adverse effects include bradycardia, fatigue, and bronchospasm.",Pharmacology
66,How does aspirin act as an antiplatelet agent?,"Aspirin irreversibly inhibits COX-1, decreasing thromboxane A2 synthesis and platelet aggregation. It is used for cardiovascular prevention. Major adverse effects include gastrointestinal bleeding and peptic ulcer disease.",Pharmacology
67,What is apoptosis?,"Apoptosis is programmed cell death characterized by cell shrinkage, chromatin condensation, and apoptotic body formation without significant inflammation. It plays a key role in development and tissue homeostasis.",Pathology
68,What is coagulative necrosis?,Coagulative necrosis is a pattern of cell death in which tissue architecture is preserved for several days. It commonly occurs after ischemia in solid organs such as the heart and kidneys.,Pathology
69,How is cardiac output calculated?,Cardiac output equals heart rate multiplied by stroke volume. It represents the volume of blood pumped by the heart per minute and is a key determinant of tissue perfusion.,Physiology
70,What is the Frank-Starling mechanism?,"The Frank-Starling law states that increased ventricular filling stretches myocardial fibers, producing a stronger contraction and increasing stroke volume within physiological limits.",Physiology
71,What structures pass through the carotid sheath?,"The carotid sheath contains the common/internal carotid artery, internal jugular vein, and vagus nerve. These structures are clinically important during neck surgery.",Anatomy
72,What is the blood supply of the heart?,"The heart is supplied by the right and left coronary arteries, which arise from the ascending aorta. Obstruction can lead to myocardial ischemia and infarction.",Anatomy
73,What is the Gram stain principle?,"Gram staining differentiates bacteria based on cell wall structure. Gram-positive bacteria retain crystal violet, whereas gram-negative bacteria lose it and take up the counterstain.",Microbiology
74,How is tuberculosis diagnosed?,"Tuberculosis is diagnosed using sputum microscopy, nucleic acid amplification tests, culture, and imaging. Diagnosis is supported by clinical findings and epidemiological risk factors.",Microbiology
75,What is diabetes mellitus?,"Diabetes mellitus is a metabolic disorder characterized by chronic hyperglycemia due to impaired insulin secretion, insulin action, or both. Long-term complications affect vessels, nerves, kidneys, and eyes.",Medicine
76,What are the diagnostic criteria for hypertension?,"Hypertension is diagnosed by persistently elevated blood pressure, generally ≥140/90 mmHg in clinic settings, confirmed with repeated measurements or ambulatory monitoring.",Medicine
77,What is acute coronary syndrome?,"Acute coronary syndrome includes unstable angina, NSTEMI, and STEMI caused by reduced coronary blood flow. Management includes antiplatelets, anticoagulation, and reperfusion when indicated.",Cardiology
78,How is heart failure treated?,"Heart failure treatment includes ACE inhibitors, beta-blockers, mineralocorticoid antagonists, SGLT2 inhibitors, diuretics, lifestyle modification, and management of underlying causes.",Cardiology
79,What is hypothyroidism?,"Hypothyroidism is a deficiency of thyroid hormone leading to fatigue, weight gain, cold intolerance, and bradycardia. Diagnosis relies on elevated TSH with low free T4 in primary disease.",Endocrinology
80,How is diabetic ketoacidosis managed?,"Management includes intravenous fluids, insulin therapy, potassium monitoring and replacement, and treatment of precipitating causes. Early recognition reduces morbidity and mortality.",Endocrinology
81,What is the mechanism of action of beta-blockers?,"Beta-blockers inhibit beta-adrenergic receptors, reducing heart rate, contractility, and renin release. They are used in hypertension, arrhythmias, angina, and heart failure. Adverse effects include bradycardia, fatigue, and bronchospasm.",Pharmacology
82,How does aspirin act as an antiplatelet agent?,"Aspirin irreversibly inhibits COX-1, decreasing thromboxane A2 synthesis and platelet aggregation. It is used for cardiovascular prevention. Major adverse effects include gastrointestinal bleeding and peptic ulcer disease.",Pharmacology
83,What is apoptosis?,"Apoptosis is programmed cell death characterized by cell shrinkage, chromatin condensation, and apoptotic body formation without significant inflammation. It plays a key role in development and tissue homeostasis.",Pathology
84,What is coagulative necrosis?,Coagulative necrosis is a pattern of cell death in which tissue architecture is preserved for several days. It commonly occurs after ischemia in solid organs such as the heart and kidneys.,Pathology
85,How is cardiac output calculated?,Cardiac output equals heart rate multiplied by stroke volume. It represents the volume of blood pumped by the heart per minute and is a key determinant of tissue perfusion.,Physiology
86,What is the Frank-Starling mechanism?,"The Frank-Starling law states that increased ventricular filling stretches myocardial fibers, producing a stronger contraction and increasing stroke volume within physiological limits.",Physiology
87,What structures pass through the carotid sheath?,"The carotid sheath contains the common/internal carotid artery, internal jugular vein, and vagus nerve. These structures are clinically important during neck surgery.",Anatomy
88,What is the blood supply of the heart?,"The heart is supplied by the right and left coronary arteries, which arise from the ascending aorta. Obstruction can lead to myocardial ischemia and infarction.",Anatomy
89,What is the Gram stain principle?,"Gram staining differentiates bacteria based on cell wall structure. Gram-positive bacteria retain crystal violet, whereas gram-negative bacteria lose it and take up the counterstain.",Microbiology
90,How is tuberculosis diagnosed?,"Tuberculosis is diagnosed using sputum microscopy, nucleic acid amplification tests, culture, and imaging. Diagnosis is supported by clinical findings and epidemiological risk factors.",Microbiology
91,What is diabetes mellitus?,"Diabetes mellitus is a metabolic disorder characterized by chronic hyperglycemia due to impaired insulin secretion, insulin action, or both. Long-term complications affect vessels, nerves, kidneys, and eyes.",Medicine
92,What are the diagnostic criteria for hypertension?,"Hypertension is diagnosed by persistently elevated blood pressure, generally ≥140/90 mmHg in clinic settings, confirmed with repeated measurements or ambulatory monitoring.",Medicine
93,What is acute coronary syndrome?,"Acute coronary syndrome includes unstable angina, NSTEMI, and STEMI caused by reduced coronary blood flow. Management includes antiplatelets, anticoagulation, and reperfusion when indicated.",Cardiology
94,How is heart failure treated?,"Heart failure treatment includes ACE inhibitors, beta-blockers, mineralocorticoid antagonists, SGLT2 inhibitors, diuretics, lifestyle modification, and management of underlying causes.",Cardiology
95,What is hypothyroidism?,"Hypothyroidism is a deficiency of thyroid hormone leading to fatigue, weight gain, cold intolerance, and bradycardia. Diagnosis relies on elevated TSH with low free T4 in primary disease.",Endocrinology
96,How is diabetic ketoacidosis managed?,"Management includes intravenous fluids, insulin therapy, potassium monitoring and replacement, and treatment of precipitating causes. Early recognition reduces morbidity and mortality.",Endocrinology
97,What is the mechanism of action of beta-blockers?,"Beta-blockers inhibit beta-adrenergic receptors, reducing heart rate, contractility, and renin release. They are used in hypertension, arrhythmias, angina, and heart failure. Adverse effects include bradycardia, fatigue, and bronchospasm.",Pharmacology
98,How does aspirin act as an antiplatelet agent?,"Aspirin irreversibly inhibits COX-1, decreasing thromboxane A2 synthesis and platelet aggregation. It is used for cardiovascular prevention. Major adverse effects include gastrointestinal bleeding and peptic ulcer disease.",Pharmacology
99,What is apoptosis?,"Apoptosis is programmed cell death characterized by cell shrinkage, chromatin condensation, and apoptotic body formation without significant inflammation. It plays a key role in development and tissue homeostasis.",Pathology
100,What is coagulative necrosis?,Coagulative necrosis is a pattern of cell death in which tissue architecture is preserved for several days. It commonly occurs after ischemia in solid organs such as the heart and kidneys.,Pathology
